Winner,Model,Key Hyperparameters,Accuracy,Macro Precision,Macro Recall,Macro F1,ESI 1 Recall,Training Time (s),Inference Time per Prediction (ms),Interpretable in under 1 minute?,Interpretability basis
No,Logistic Regression,StandardScaler; max_iter=1000; random_state=42,0.6667573696,0.5824990972,0.462951085,0.4924858474,0.25,13.581339531,0.0103246017,YES,Coefficients and feature direction can be summarised in under one minute.
No,Decision Tree,max_depth=12; random_state=42,0.5847619048,0.4806262289,0.2947965008,0.3027209034,0.0625,0.368130181,0.0010329558,YES,A single prediction path can normally be traced in under one minute.
No,Random Forest,n_estimators=200; class_weight=balanced_subsample; random_state=42,0.4965079365,0.4074097334,0.5568259643,0.3984362795,0.5,7.300626083,0.0235466258,NO,The native ensemble is not explainable in under one minute without a post-hoc tool.
No,LightGBM Base,base LGBMClassifier; random_state=42,0.6725623583,0.5889586813,0.4363429882,0.4717699431,0.125,2.456079799,0.0324955082,NO,"Global importance is quick, but one patient prediction needs post-hoc explanation."
No,XGBoost Base,base XGBClassifier; random_state=42,0.613968254,0.5785453898,0.3503894389,0.376804847,0.1875,3.565676813,0.0074513951,NO,The boosted ensemble needs a post-hoc explanation for a one-minute clinical summary.
Yes,Optimised LightGBM,n_estimators=300; learning_rate=0.05; num_leaves=31; max_depth=10; min_child_samples=30; subsample=0.90; colsample_bytree=0.90; reg_alpha=0.10; reg_lambda=1.00; moderate clinical class weights; random_state=42,0.6642176871,0.5213587399,0.5156172737,0.5179927804,0.25,3.908248527,0.0574343893,NO,Native output cannot be explained in under one minute; SHAP or another validated layer is required.
